time[YYYY-MM-DD hh:mm:ss PST], water_salinity, water_electrical_conductivity, water_temperature
"2012/06/01 00:57:57", 15.933, 1.994, 12.748
"2012/06/01 00:58:00", 15.917, 1.993, 12.758
"2012/06/01 01:00:39", 15.358, 1.935, 12.900
"2012/06/01 01:00:42", 15.313, 1.929, 12.889
"2012/06/01 01:00:45", 15.277, 1.925, 12.882
"2012/06/01 01:00:48", 15.078, 1.901, 12.878
"2012/06/01 01:00:51", 14.614, 1.848, 12.881
"2012/06/01 01:00:54", 14.291, 1.811, 12.895
"2012/06/01 01:00:57", 14.265, 1.809, 12.912
"2012/06/01 01:01:00", 14.249, 1.807, 12.923
"2012/06/01 01:01:04", 14.414, 1.827, 12.928
"2012/06/01 01:01:06", 14.494, 1.836, 12.927
"2012/06/01 01:01:09", 14.359, 1.820, 12.924
"2012/06/01 01:01:13", 14.320, 1.816, 12.925
"2012/06/01 01:01:15", 14.272, 1.810, 12.928
"2012/06/01 01:01:18", 14.205, 1.802, 12.930
"2012/06/01 01:01:22", 14.017, 1.781, 12.933
"2012/06/01 01:01:24", 13.732, 1.748, 12.941
"2012/06/01 01:01:28", 13.715, 1.746, 12.954
"2012/06/01 01:01:30", 13.726, 1.748, 12.962
"2012/06/01 01:01:33", 13.537, 1.726, 12.968
"2012/06/01 01:01:36", 13.127, 1.678, 12.978
"2012/06/01 01:01:39", 12.474, 1.602, 12.997
"2012/06/01 01:01:42", 12.113, 1.560, 13.029
"2012/06/01 01:01:45", 12.075, 1.557, 13.059
"2012/06/01 01:01:48", 11.823, 1.528, 13.080
"2012/06/01 01:01:51", 11.284, 1.464, 13.102
"2012/06/01 01:01:54", 11.062, 1.439, 13.132
"2012/06/01 01:01:57", 11.062, 1.440, 13.156
"2012/06/01 01:02:00", 10.875, 1.418, 13.175
"2012/06/01 01:03:39", 10.672, 1.399, 13.343
"2012/06/01 01:03:42", 10.464, 1.374, 13.343
"2012/06/01 01:03:45", 10.268, 1.350, 13.348
"2012/06/01 01:03:48", 10.246, 1.348, 13.356
"2012/06/01 01:03:51", 10.624, 1.394, 13.361
"2012/06/01 01:03:54", 11.059, 1.446, 13.352
"2012/06/01 01:03:57", 11.163, 1.458, 13.336
"2012/06/01 01:04:00", 10.929, 1.429, 13.323
"2012/06/01 01:06:36", 9.090, 1.213, 13.577
"2012/06/01 01:06:39", 8.652, 1.158, 13.566
"2012/06/01 01:06:42", 8.225, 1.106, 13.571
"2012/06/01 01:06:45", 8.188, 1.101, 13.585
"2012/06/01 01:06:48", 8.070, 1.087, 13.595
"2012/06/01 01:06:51", 7.945, 1.072, 13.604
"2012/06/01 01:06:54", 8.111, 1.092, 13.611
"2012/06/01 01:06:57", 8.591, 1.152, 13.611
"2012/06/01 01:07:00", 8.985, 1.201, 13.596
"2012/06/01 01:09:39", 18.890, 2.325, 12.664
"2012/06/01 01:09:42", 18.782, 2.312, 12.646
"2012/06/01 01:09:45", 18.578, 2.288, 12.634
"2012/06/01 01:09:48", 18.461, 2.275, 12.628
"2012/06/01 01:09:51", 18.424, 2.271, 12.625
"2012/06/01 01:09:54", 18.365, 2.264, 12.621
"2012/06/01 01:09:57", 18.344, 2.261, 12.617
"2012/06/01 01:10:00", 18.299, 2.256, 12.614
"2012/06/01 01:12:36", 17.594, 2.183, 12.733
"2012/06/01 01:12:39", 17.759, 2.201, 12.718
"2012/06/01 01:12:42", 17.918, 2.218, 12.703
"2012/06/01 01:12:45", 18.011, 2.227, 12.685
"2012/06/01 01:12:48", 17.972, 2.222, 12.670
"2012/06/01 01:12:51", 17.843, 2.207, 12.659
"2012/06/01 01:12:54", 17.630, 2.183, 12.655
"2012/06/01 01:12:57", 17.436, 2.161, 12.657
"2012/06/01 01:13:00", 17.437, 2.161, 12.662
"2012/06/01 01:15:36", 14.166, 1.802, 13.024
"2012/06/01 01:15:39", 13.995, 1.782, 13.024
"2012/06/01 01:15:42", 13.873, 1.768, 13.028
"2012/06/01 01:15:45", 13.641, 1.741, 13.033
"2012/06/01 01:15:48", 13.492, 1.724, 13.042
"2012/06/01 01:15:51", 13.512, 1.726, 13.052
"2012/06/01 01:15:54", 13.460, 1.721, 13.057
"2012/06/01 01:15:57", 13.312, 1.703, 13.062
"2012/06/01 01:18:36", 6.140, 0.848, 13.832
"2012/06/01 01:18:40", 6.137, 0.848, 13.835
"2012/06/01 01:18:42", 5.934, 0.822, 13.839
"2012/06/01 01:18:45", 5.773, 0.801, 13.847
"2012/06/01 01:18:48", 5.887, 0.816, 13.858
"2012/06/01 01:18:51", 6.178, 0.854, 13.862
"2012/06/01 01:18:54", 6.362, 0.877, 13.856
"2012/06/01 01:18:57", 6.343, 0.874, 13.849
"2012/06/01 01:21:36", 6.595, 0.906, 13.804
"2012/06/01 01:21:39", 6.482, 0.892, 13.833
"2012/06/01 01:21:42", 6.296, 0.869, 13.865
"2012/06/01 01:21:45", 5.933, 0.823, 13.893
"2012/06/01 01:21:48", 5.539, 0.772, 13.913
"2012/06/01 01:21:51", 5.488, 0.766, 13.924
"2012/06/01 01:21:54", 5.800, 0.806, 13.923
"2012/06/01 01:21:57", 6.108, 0.846, 13.910
"2012/06/01 01:22:00", 6.082, 0.842, 13.894
"2012/06/01 01:27:39", 5.640, 0.784, 13.863
"2012/06/01 01:27:42", 5.764, 0.800, 13.860
"2012/06/01 01:27:45", 5.845, 0.811, 13.853
"2012/06/01 01:27:48", 6.000, 0.830, 13.846
"2012/06/01 01:27:51", 6.436, 0.886, 13.836
"2012/06/01 01:27:54", 6.965, 0.953, 13.817
"2012/06/01 01:27:57", 7.502, 1.021, 13.791
"2012/06/01 01:28:00", 8.288, 1.118, 13.756
"2012/06/01 01:28:03", 9.378, 1.253, 13.711
"2012/06/01 01:28:06", 10.112, 1.341, 13.652
"2012/06/01 01:28:09", 10.502, 1.387, 13.593
"2012/06/01 01:28:12", 10.377, 1.370, 13.546
"2012/06/01 01:28:15", 10.254, 1.354, 13.518
"2012/06/01 01:28:19", 10.455, 1.378, 13.499
"2012/06/01 01:28:21", 10.707, 1.408, 13.480
"2012/06/01 01:28:25", 10.696, 1.406, 13.458
"2012/06/01 01:28:27", 10.855, 1.424, 13.442
"2012/06/01 01:28:30", 11.400, 1.490, 13.425
"2012/06/01 01:28:33", 12.295, 1.596, 13.395
"2012/06/01 01:28:36", 13.148, 1.696, 13.350
"2012/06/01 01:28:39", 13.520, 1.738, 13.297
"2012/06/01 01:28:42", 13.516, 1.735, 13.251
"2012/06/01 01:28:45", 13.504, 1.732, 13.218
"2012/06/01 01:28:48", 13.500, 1.731, 13.197
"2012/06/01 01:28:51", 13.581, 1.740, 13.181
"2012/06/01 01:28:54", 13.736, 1.758, 13.165
"2012/06/01 01:28:57", 13.949, 1.782, 13.148
"2012/06/01 01:30:36", 16.121, 2.021, 12.856
"2012/06/01 01:30:39", 16.216, 2.031, 12.841
"2012/06/01 01:30:42", 16.275, 2.037, 12.824
"2012/06/01 01:30:45", 16.251, 2.033, 12.809
"2012/06/01 01:30:48", 16.290, 2.037, 12.800
"2012/06/01 01:30:51", 16.301, 2.038, 12.795
"2012/06/01 01:30:54", 16.092, 2.014, 12.790
"2012/06/01 01:30:57", 15.982, 2.001, 12.790
"2012/06/01 01:33:36", 11.021, 1.438, 13.248
"2012/06/01 01:33:39", 10.515, 1.377, 13.260
"2012/06/01 01:33:42", 10.030, 1.319, 13.281
"2012/06/01 01:33:45", 9.672, 1.276, 13.308
"2012/06/01 01:33:48", 9.140, 1.212, 13.336
"2012/06/01 01:33:51", 8.744, 1.164, 13.370
"2012/06/01 01:33:54", 9.083, 1.207, 13.401
"2012/06/01 01:33:57", 9.807, 1.296, 13.413
