page_url,links_to_check,all_good?,notes
https://dead-links.the-examples-book.pages.dev/projects/fall2022/40100/project6,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2022/40100/project7,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2022/40100/project8,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2022/40100/project9,4,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/10100/project1,3,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/10100/project10,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/10100/project11,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/10100/project12,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/10100/project13,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/10100/project14,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/10100/project2,3,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/10100/project3,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/10100/project4,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/10100/project5,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/10100/project6,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/10100/project7,3,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/10100/project8,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/10100/project9,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/20100/project1,4,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/20100/project10,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/20100/project11,3,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/20100/project12,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/20100/project13,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/20100/project14,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/20100/project2,11,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/20100/project3,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/20100/project4,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/20100/project5,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/20100/project6,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/20100/project7,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/20100/project8,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/20100/project9,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/30100/project1,3,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/30100/project10,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/30100/project11,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/30100/project12,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/30100/project13,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/30100/project14,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/30100/project2,7,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/30100/project3,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/30100/project4,3,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/30100/project5,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/30100/project6,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/30100/project7,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/30100/project8,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/30100/project9,4,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/40100/project1,7,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/40100/project10,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/40100/project11,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/40100/project12,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/40100/project13,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/40100/project14,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/40100/project2,3,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/40100/project3,3,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/40100/project4,3,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/40100/project5,4,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/40100/project6,3,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/40100/project7,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/40100/project8,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2023/40100/project9,4,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/10100/project10,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/10100/project11,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/10100/project12,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/10100/project13,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/10100/project14,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/10100/project2,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/10100/project3,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/10100/project4,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/10100/project5,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/10100/project6,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/10100/project7,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/10100/project8,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/10100/project9,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/20100/project1,3,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/20100/project10,5,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/20100/project11,3,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/20100/project12,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/20100/project13,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/20100/project14,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/20100/project2,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/20100/project3,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/20100/project4,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/20100/project5,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/20100/project6,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/20100/project7,2,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/20100/project8,5,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/20100/project9,5,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/30100/project10,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/30100/project11,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/30100/project12,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/30100/project13,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/30100/project14,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/30100/project2,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/30100/project3,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/30100/project4,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/30100/project5,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/30100/project6,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/30100/project7,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/30100/project8,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/30100/project9,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/40100/project10,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/40100/project11,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/40100/project12,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/40100/project13,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/40100/project14,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/40100/project2,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/40100/project3,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/40100/project4,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/40100/project5,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/40100/project6,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/40100/project7,1,,
https://dead-links.the-examples-book.pages.dev/projects/fall2024/40100/project8,1,,
